Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,First octet,Second octet,Third octet,Fourth octet,NumOfIPs,TXTRecord,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Location,Class
salomonoutlet.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,69,158,222,2,19,1,0,0,0,0,0,63119,200,Apache,3.33,0.38,0.56,0.0,0.0,2,2,0,0,False,9,United States,1
geox-sk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,83,196,247,55,241,1,0,0,0,0,0,41564,200,Apache,2.92,0.2,0.6,0.0,0.1,2,2,0,1,False,6,Canada,1
fila-sk.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,63,158,222,2,4,1,0,0,0,0,0,63119,200,Apache,2.92,0.2,0.6,0.0,0.1,1,2,0,1,False,5,United States,1
onrunning-sk.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,69,196,245,238,159,1,0,0,0,0,0,58065,200,Apache,3.11,0.2,0.67,0.0,0.07,1,2,0,1,False,7,Austria,1
fossilbratislava.sk,NETIM,4.0,3.0,Let's Encrypt,54,196,196,192,232,1,0,0,0,0,0,41564,403,Apache/2,3.37,0.32,0.63,0.0,0.0,1,3,0,0,False,11,Ireland,1
skechersakcia.sk,"WebHouse, s.r.o.",3.0,3.0,Google Trust Services,52,172,67,156,243,2,0,0,0,0,0,13335,403,cloudflare,3.03,0.31,0.62,0.0,0.0,2,2,0,0,False,7,Canada,1
tamaris-slovensko.sk,Gransy s.r.o.,4.0,4.0,Let's Encrypt,51,158,222,2,62,1,0,0,0,0,0,63119,200,Apache,3.62,0.3,0.6,0.0,0.05,1,3,0,1,False,9,United States,1
dobrygeodet.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,84,31,15,10,47,1,1,1,1,0,0,25234,200,nginx,3.38,0.36,0.57,0.0,0.0,2,2,0,0,False,8,Czechia,1
sasshoesbratislava.sk,NETIM,4.0,3.0,ZeroSSL,45,165,231,198,173,1,0,0,0,0,0,58065,403,Apache/2,3.27,0.33,0.62,0.0,0.0,2,3,0,0,False,13,Estonia,1
tedbakersk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,49,104,21,24,15,2,0,0,0,0,0,13335,200,cloudflare,3.03,0.23,0.69,0.0,0.0,1,3,0,0,False,8,Canada,1
123kamagra.sk,Gransy s.r.o.,4.0,3.0,Google Trust Services,82,172,67,175,225,2,1,1,1,0,1,13335,200,cloudflare,3.18,0.23,0.46,0.23,0.0,1,2,3,0,False,7,Canada,1
speedoslovensko.sk,Gransy s.r.o.,4.0,1.0,Let's Encrypt,53,196,241,63,59,1,0,0,0,0,0,41564,200,Apache,3.09,0.33,0.61,0.0,0.0,2,3,0,0,False,7,United Kingdom,1
oyshosk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,34,165,231,64,61,1,0,0,0,0,0,48950,200,Apache,2.45,0.3,0.6,0.0,0.0,2,2,0,0,False,6,Germany,1
corteizsk.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,77,158,222,2,44,1,0,0,0,0,0,63119,200,Apache,3.25,0.25,0.67,0.0,0.0,2,3,0,0,False,6,United States,1
brookstopanky.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,60,196,242,16,75,1,0,0,0,0,0,41564,200,Apache,3.28,0.31,0.62,0.0,0.0,2,3,0,0,False,8,South Africa,1
armanioutlet.sk,NETIM,4.0,3.0,Let's Encrypt,81,196,244,195,111,1,0,0,0,0,0,41564,403,nginx,3.64,0.4,0.53,0.0,0.0,3,2,0,0,False,8,Singapore,1
725138.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,85,172,67,140,167,2,0,0,0,0,0,13335,0,None,3.17,0.0,0.22,0.67,0.0,0,2,6,0,False,7,Canada,1
soslovenskekasino.sk,Key-Systems GmbH,4.0,2.0,Google Trust Services,61,172,67,181,29,2,1,1,1,0,1,13335,200,cloudflare,3.07,0.35,0.6,0.0,0.0,1,3,0,0,False,9,Canada,1
ragwear.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,74,196,196,13,157,1,0,0,0,0,0,63119,200,Apache,2.92,0.3,0.6,0.0,0.0,2,2,0,0,False,5,Germany,1
umbro-slovensko.sk,"WebHouse, s.r.o.",3.0,3.0,Google Trust Services,37,172,67,139,171,2,0,0,0,0,0,13335,403,cloudflare,3.53,0.28,0.61,0.0,0.06,1,3,0,1,False,7,Canada,1
marc-jacobs.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,81,165,231,64,40,1,0,0,0,0,0,48950,200,Apache,3.38,0.21,0.64,0.0,0.07,1,2,0,1,False,8,Germany,1
demoniatopankysk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,62,196,245,153,223,1,0,0,0,0,0,41564,200,Apache,3.58,0.37,0.58,0.0,0.0,2,2,0,0,False,11,Slovakia,1
ospreyslovensko.sk,Gransy s.r.o.,4.0,3.0,Google Trust Services,44,104,21,83,26,2,0,0,0,0,0,13335,500,cloudflare,3.24,0.33,0.61,0.0,0.0,2,3,0,0,False,7,Canada,1
bapetenisky.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,63,196,245,56,103,1,0,0,0,0,0,58065,200,Apache,3.38,0.36,0.57,0.0,0.0,1,2,0,0,False,7,Spain,1
hothot.sk,Websupport s.r.o.,3.0,3.0,None,10,37,9,175,196,1,1,1,1,0,0,51013,200,openresty,2.5,0.22,0.67,0.0,0.0,1,2,0,0,False,5,Slovakia,1
topankyslovensko.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,54,196,196,52,166,1,0,0,0,0,0,41564,200,Apache,3.39,0.32,0.63,0.0,0.0,1,3,0,0,False,8,Latvia,1
fredperry-sk.sk,Gransy s.r.o.,3.0,2.0,Let's Encrypt,80,158,222,2,41,1,0,0,0,0,0,63119,200,Apache,3.19,0.2,0.67,0.0,0.07,1,2,0,1,False,9,United States,1
pinkoslovensko.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,38,196,196,154,215,1,0,0,0,0,0,58065,200,Apache,3.13,0.29,0.65,0.0,0.0,1,3,0,0,False,6,Sweden,1
bapesk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,57,104,21,54,159,2,0,0,0,0,0,13335,200,cloudflare,2.73,0.22,0.67,0.0,0.0,1,2,0,0,False,4,Canada,1
slovenskekasino.sk,NETIM,3.0,3.0,Google Trust Services,35,172,67,143,126,2,0,0,0,0,0,13335,200,cloudflare,3.13,0.33,0.61,0.0,0.0,1,3,0,0,False,7,Canada,1
guesskabelky.sk,Key-Systems GmbH,4.0,2.0,ZeroSSL,42,165,231,253,42,1,0,0,0,0,0,41564,403,Apache/2,3.14,0.33,0.6,0.0,0.0,2,3,0,0,False,8,India,1
05999.sk,Gransy s.r.o.,3.0,3.0,None,0,23,225,156,76,1,0,0,0,0,0,40065,0,None,2.41,0.0,0.25,0.62,0.0,0,2,5,0,False,6,Hong Kong,1
suprisimo.sk,"ACTIVE 24, s.r.o.",4.0,3.0,None,0,162,159,136,54,2,1,1,1,0,0,13335,409,cloudflare,3.02,0.33,0.58,0.0,0.0,1,2,0,0,False,6,Canada,1
teveoshop.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,73,104,21,82,236,2,0,0,0,0,0,13335,200,cloudflare,3.08,0.33,0.58,0.0,0.0,2,2,0,0,False,6,Canada,1
kiplingbags.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,31,104,21,88,85,2,0,0,0,0,0,13335,200,cloudflare,3.24,0.21,0.71,0.0,0.0,1,3,0,0,False,8,Canada,1
vogueshop.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,32,104,21,57,7,2,0,0,0,0,0,13335,403,cloudflare,3.25,0.33,0.58,0.0,0.0,2,2,0,0,False,6,Canada,1
salomon-slovenskosk.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,38,196,245,153,243,1,0,0,0,0,0,41564,200,Apache,3.17,0.27,0.64,0.0,0.05,1,3,0,1,False,11,Slovakia,1
pit-viper.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,31,196,247,58,182,1,0,0,0,0,0,41564,200,Apache,3.25,0.25,0.58,0.0,0.08,1,2,0,1,False,7,Canada,1
palladiumslovakia.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,74,158,222,2,29,1,0,0,0,0,0,63119,200,Apache,3.38,0.4,0.55,0.0,0.0,2,3,0,0,False,10,United States,1
swarovskisk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,69,158,222,2,48,1,0,0,0,0,0,63119,200,Apache,2.9,0.21,0.71,0.0,0.0,1,3,0,0,False,8,United States,1
propetbratislava.sk,NETIM,4.0,3.0,Google Trust Services,48,104,21,75,145,2,0,0,0,0,0,13335,403,cloudflare,3.58,0.32,0.63,0.0,0.0,1,3,0,0,False,11,Canada,1
polepynamobil.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,36,77,78,104,3,1,1,1,1,0,1,15685,200,nginx,3.62,0.38,0.56,0.0,0.0,1,2,0,0,False,9,Czechia,1
123podnikanie.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,66,104,21,85,237,2,0,0,0,0,0,13335,200,cloudflare,3.62,0.31,0.44,0.19,0.0,2,2,3,0,False,9,Canada,1
arcteryxsk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,59,104,21,48,1,7,0,0,0,0,0,13335,200,cloudflare,3.24,0.23,0.69,0.0,0.0,1,3,0,0,False,5,Canada,1
louboutintopanky.sk,Gransy s.r.o.,4.0,4.0,Let's Encrypt,82,158,222,2,62,1,0,0,0,0,0,63119,200,Apache,3.58,0.42,0.53,0.0,0.0,2,2,0,0,False,11,United States,1
uniqlosk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,86,196,245,153,246,1,0,0,0,0,0,41564,200,Apache,3.1,0.27,0.64,0.0,0.0,1,2,0,0,False,5,Slovakia,1
twinsspecialslovensko.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,80,196,196,101,43,1,0,0,0,0,0,48950,200,Apache,3.6,0.29,0.67,0.0,0.0,2,4,0,0,False,13,Sweden,1
soslovenskecasino.sk,Key-Systems GmbH,3.0,3.0,Google Trust Services,49,104,21,46,201,2,1,1,1,0,0,13335,200,cloudflare,3.2,0.35,0.6,0.0,0.0,1,3,0,0,False,9,Canada,1
hokabezeckaobuv.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,89,165,231,190,73,1,0,0,0,0,0,58065,200,Apache,3.46,0.39,0.56,0.0,0.0,2,2,0,0,False,10,Estonia,1
nine-casino-sk.sk,Gransy s.r.o.,4.0,3.0,Google Trust Services,57,104,21,38,235,2,0,0,0,0,0,13335,200,cloudflare,3.18,0.29,0.53,0.0,0.12,1,2,0,1,False,10,Canada,1
nnormalsk.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,31,196,245,153,223,1,0,0,0,0,0,41564,200,Apache,3.08,0.17,0.75,0.0,0.0,1,3,0,0,False,6,Slovakia,1
trapstartricko.sk,"WebHouse, s.r.o.",3.0,2.0,Google Trust Services,36,172,67,188,166,2,0,0,0,0,0,13335,403,cloudflare,3.18,0.24,0.71,0.0,0.0,1,3,0,0,False,9,Canada,1
crocslacne.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,64,165,231,180,117,1,0,0,0,0,0,58065,200,Apache,3.18,0.23,0.69,0.0,0.0,1,3,0,0,False,7,Estonia,1
legeroslovensko.sk,"WebHouse, s.r.o.",3.0,2.0,Google Trust Services,51,172,67,218,204,2,0,0,0,0,0,13335,403,cloudflare,3.16,0.33,0.61,0.0,0.0,1,3,0,0,False,7,Canada,1
ospreybratislava.sk,NETIM,4.0,3.0,Google Trust Services,40,104,21,96,1,7,0,0,0,0,0,13335,403,cloudflare,3.64,0.37,0.58,0.0,0.0,2,3,0,0,False,12,Canada,1
gabiony-eshop.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,32,104,21,16,1,7,0,0,0,0,0,13335,500,cloudflare,3.75,0.38,0.5,0.0,0.06,2,2,0,1,False,8,Canada,1
salomonslovakia.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,69,196,245,56,150,1,0,0,0,0,0,58065,200,Apache,3.16,0.39,0.56,0.0,0.0,2,3,0,0,False,7,Spain,1
skechersdamske.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,35,165,231,199,202,1,0,0,0,0,0,58065,200,Apache,3.06,0.24,0.71,0.0,0.0,1,3,0,0,False,9,Estonia,1
