Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,IPv4_Num,NumOfIPs,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
hotelfrano.sk,Gransy s.r.o.,1.0,1.0,Google Trust Services,64,2890129320,2,0,0,0,0,13335,403,cloudflare,3.55,0.31,0.62,0.0,0.0,1,3,0,0,False,12,False,False,Canada,0
balker.sk,"MYSTERY MACHINE, s.r.o.",4.0,1.0,None,0,772035755,1,1,1,0,0,24940,200,Apache/2,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Germany,0
mestokrasno.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,77,621391803,1,1,1,0,0,51013,200,openresty,3.18,0.29,0.64,0.0,0.0,1,2,0,0,False,13,False,False,Slovakia,0
bapas.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,37,3283482636,1,1,1,1,1,48689,200,nginx,2.5,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
bauarticel.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,83,2499527876,1,1,1,0,1,24940,200,nginx,3.55,0.38,0.54,0.0,0.0,3,2,0,0,False,12,False,False,Germany,0
b2bauto.sk,"Webglobe, a.s.",4.0,2.0,Let's Encrypt,66,874328421,2,1,1,0,1,16509,200,nginx,3.12,0.3,0.5,0.1,0.0,2,2,1,0,False,9,False,False,Germany,0
startitup.sk,"Webglobe, a.s.",4.0,2.0,Google Trust Services,38,2890089985,3,1,1,1,1,13335,200,cloudflare,3.02,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Canada,0
dc-shoes.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,44,2890107139,2,0,0,0,0,13335,403,cloudflare,3.03,0.18,0.64,0.0,0.09,2,2,0,1,False,10,True,False,Canada,1
benetton-sk.sk,"WebHouse, s.r.o.",2.0,2.0,Google Trust Services,86,1746214913,7,0,0,0,0,13335,403,cloudflare,3.09,0.21,0.64,0.0,0.07,1,2,0,1,False,13,False,True,Canada,1
hotelmajolika.sk,SOLTEC s.r.o.,4.0,3.0,None,55,786817129,1,1,1,0,1,29405,200,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips mod_fcgid/2.3.9 PHP/5.6.40,3.5,0.38,0.56,0.0,0.0,1,2,0,0,False,15,False,False,Slovakia,0
barbo.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,28,786818608,1,1,1,0,1,29405,200,Apache,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
teplice.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,86,1383588041,1,1,1,0,1,5578,200,Apache,3.12,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
hollisterbratislava.sk,NETIM,4.0,3.0,ZeroSSL,85,3304537322,1,1,1,0,0,41564,403,Apache/2,3.54,0.32,0.64,0.0,0.0,1,3,0,0,False,21,True,False,Canada,1
atriumhotel.sk,EuroNET Slovakia s.r.o.,4.0,3.0,Let's Encrypt,15,1441784606,1,1,1,0,1,15685,200,Apache,3.66,0.36,0.57,0.0,0.0,2,2,0,0,False,13,False,False,Czechia,0
bec.sk,"WebHouse, s.r.o.",4.0,3.0,None,385,1450111785,1,1,1,0,1,29405,200,Apache,2.58,0.17,0.67,0.0,0.0,1,2,0,0,False,5,False,False,Slovakia,0
bbclean.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,43,621391747,1,1,1,0,0,51013,200,openresty,3.12,0.2,0.7,0.0,0.0,2,4,0,0,False,9,False,False,Slovakia,0
skikraliky.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,32,621391771,1,1,1,0,0,51013,200,openresty,2.78,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
pravda.sk,"Webglobe, a.s.",4.0,3.0,DigiCert Inc,47,3645054768,1,1,1,1,1,5578,200,nginx/1.10.3 (Ubuntu),2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
barboursslovensko.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,41,2890128910,2,0,0,0,0,13335,200,cloudflare,3.38,0.3,0.65,0.0,0.0,2,4,0,0,False,19,True,False,Canada,1
vivaitalia.sk,Varro s.r.o.,4.0,2.0,Let's Encrypt,51,1559297352,1,1,1,0,0,29405,200,None,2.82,0.46,0.46,0.0,0.0,2,2,0,0,False,12,False,False,Slovakia,1
balancecosmetics.sk,"WEDOS Internet, a.s.",4.0,3.0,ZeroSSL,37,1505356572,1,1,1,0,1,24971,404,nginx/1.27.0,3.54,0.32,0.63,0.0,0.0,1,2,0,0,False,18,False,False,Czechia,0
benecon.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,39,1450112900,1,1,1,0,0,29405,200,Apache,2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
ovcieveci.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,18,1364940300,1,0,1,0,1,39790,200,openresty,2.92,0.42,0.5,0.0,0.0,2,2,0,0,False,11,False,False,Czechia,0
mavexjunior.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,64,621391803,1,1,1,0,0,51013,200,openresty,3.81,0.36,0.57,0.0,0.0,2,2,0,0,False,13,False,False,Slovakia,0
stanisovska.sk,"CS WEB, s.r.o.",4.0,1.0,Let's Encrypt,64,1600782256,1,0,0,0,0,15962,200,Apache,2.95,0.29,0.64,0.0,0.0,1,3,0,0,False,13,False,False,Slovakia,0
trapstarsk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,79,3304240112,1,0,0,0,0,58065,200,Apache,2.72,0.15,0.77,0.0,0.0,1,3,0,0,False,12,False,True,South Africa,1
bankarzilina.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,33,621391434,1,1,1,0,0,51013,200,nginx,3.19,0.33,0.6,0.0,0.0,1,2,0,0,False,14,False,False,Slovakia,0
longchamp.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,29,2665349686,1,0,0,0,0,63119,200,Apache,3.58,0.17,0.75,0.0,0.0,1,4,0,0,False,11,False,False,United States,1
babyraptor.sk,"Webglobe, a.s.",4.0,3.0,ZeroSSL,61,3108035365,3,1,1,0,0,43541,200,nginx,3.24,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Czechia,0
topankysalomon.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,44,3304430061,1,0,0,0,0,41564,200,Apache,3.34,0.35,0.59,0.0,0.0,1,2,0,0,False,16,True,False,Slovakia,1
jordanslovensko.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,75,2783401817,1,0,0,0,0,58065,200,Apache,3.42,0.28,0.67,0.0,0.0,1,3,0,0,False,17,True,False,France,1
moj-protein.sk,Websupport s.r.o.,4.0,3.0,ZeroSSL,4,3108035365,1,1,1,0,0,43541,200,nginx,3.66,0.29,0.57,0.0,0.07,2,2,0,1,False,13,False,False,Czechia,0
bbkart.sk,"crooce.com - the internet company, s.r.o.",4.0,2.0,Let's Encrypt,83,55049693,2,1,1,0,0,16509,200,openresty,2.73,0.11,0.78,0.0,0.0,1,3,0,0,False,8,False,False,Germany,0
boris-belica.sk,"WebCreators, s. r. o.",4.0,3.0,Let's Encrypt,39,3248704794,1,1,1,0,1,29405,200,nginx,3.51,0.33,0.53,0.0,0.07,1,2,0,1,False,14,False,False,Slovakia,0
b18.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,88,621391813,1,0,1,0,0,51013,200,openresty,2.58,0.0,0.5,0.33,0.0,0,2,2,0,False,5,False,False,Slovakia,0
dokonalydomov.sk,"ACTIVE 24, s.r.o.",4.0,1.0,Let's Encrypt,26,621391772,1,1,1,0,0,51013,200,openresty,3.25,0.38,0.56,0.0,0.0,1,2,0,0,False,15,False,False,Slovakia,0
ziardolinky.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,26,621391813,1,1,0,0,0,51013,200,openresty,3.52,0.36,0.57,0.0,0.0,2,2,0,0,False,13,False,False,Slovakia,0
bapodetva.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,71,1559297352,1,1,1,0,0,29405,200,None,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,11,False,False,Slovakia,0
ja-sr.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,15,621391805,1,1,1,0,0,51013,200,openresty,2.75,0.12,0.62,0.0,0.12,1,2,0,1,False,7,False,False,Slovakia,0
topanky-obuv.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,15,1296984067,1,1,1,0,1,15685,200,nginx,3.64,0.33,0.53,0.0,0.07,1,2,0,1,False,14,True,False,Czechia,1
hotelhavrania.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,26,621391434,1,1,1,0,0,51013,200,nginx,3.58,0.38,0.56,0.0,0.0,2,2,0,0,False,15,False,False,Slovakia,0
myprotein.sk,"ELBIA, s. r. o.",4.0,3.0,Let's Encrypt,40,531697927,1,1,0,0,0,197651,200,cloudflare,3.58,0.33,0.58,0.0,0.0,2,2,0,0,False,11,False,False,United Kingdom,0
uniba.sk,Websupport s.r.o.,4.0,3.0,None,0,2663581322,1,1,1,0,1,2607,0,None,3.0,0.38,0.5,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
hotelclavis.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,65,521079480,1,1,1,0,0,25234,200,nginx,3.52,0.29,0.64,0.0,0.0,1,3,0,0,False,13,False,False,Czechia,0
belenkatenisky.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,76,3304430021,1,0,0,0,0,41564,200,Apache,3.29,0.35,0.59,0.0,0.0,1,2,0,0,False,16,True,False,Slovakia,1
gymsharksk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,58,1746210687,2,0,0,0,0,13335,200,cloudflare,2.97,0.15,0.77,0.0,0.0,1,4,0,0,False,12,False,True,Canada,1
bazalt.sk,"ACTIVE 24, s.r.o.",4.0,3.0,None,78,600634465,1,0,1,0,0,396982,200,Apache/2.4.62 (Debian),2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Netherlands,0
bugy.sk,"NEONUS, s.r.o.",4.0,3.0,Let's Encrypt,31,3107705022,1,1,1,0,1,43541,200,nginx,2.81,0.29,0.57,0.0,0.0,1,2,0,0,False,6,False,False,Czechia,0
reklama.sk,"ELBIA, s. r. o.",4.0,3.0,Let's Encrypt,86,1833606147,1,1,1,0,1,29405,200,RANDOM,2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
oblecdieta.sk,"WEBRA Solutions, s.r.o.",4.0,3.0,Let's Encrypt,82,1592074573,1,1,1,1,0,48326,403,Apache,3.55,0.38,0.54,0.0,0.0,2,2,0,0,False,12,False,False,Slovakia,0
hanusovce.sk,"INTERNET CZ, a.s.",4.0,2.0,Let's Encrypt,71,1482057225,1,1,1,0,0,39392,200,Microsoft-IIS/8.5,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,11,False,False,Czechia,0
centralshopping.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,67,621391804,1,1,1,0,0,51013,200,openresty,3.84,0.22,0.72,0.0,0.0,1,3,0,0,False,17,True,False,Slovakia,0
hotelhydro.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,36,621391748,1,1,1,0,0,51013,200,openresty,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
infocenter.sk,"WebCreators, s. r. o.",3.0,3.0,Let's Encrypt,57,264588515,2,0,0,1,1,16509,200,"Caddy, awselb/2.0",3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Canada,0
